obj,src,value
Minaret and Archaeological Remains of Jam,www.discoveryheritagesites.com,Shahrak District
Minaret and Archaeological Remains of Jam,en.unesco.org,Ghur Province
Minaret and Archaeological Remains of Jam,www.worldheritagesite.org,Afghanistan
Minaret and Archaeological Remains of Jam,openarchive.icomos.org,Afghanistan
Minaret and Archaeological Remains of Jam,worldhetitagesites.blogspot.com,Europe and North America
Butrint,www.visitsaranda.com,Albania
Butrint,www.area-archives.org,Europe and North America
Butrint,www.researchgate.net,Albania
Butrint,www.penn.museum,Albania
Butrint,sites.google.com,Coast Province
Butrint,www.scribd.com,Province of Rome
Butrint,www.academia.edu,Province of Rome
Butrint,en.wikipedia.org,Montenegro
Butrint,www.slideshare.net,Albania
Historic Centres of Berat and Gjirokastra ,en.wikipedia.org,Europe and North America
Historic Centres of Berat and Gjirokastra ,www.historiccentresofberatandgjirokastra.com,Albania
Historic Centres of Berat and Gjirokastra ,openarchive.icomos.org,Albania
Historic Centres of Berat and Gjirokastra ,www.travellino.net,Albania
Historic Centres of Berat and Gjirokastra ,www.worldheritagesite.org,Montenegro
Historic Centres of Berat and Gjirokastra ,www.discoveryheritagesites.com,Albania
Al Qal'a of Beni Hammad,www.discoveryheritagesites.com,France
Al Qal'a of Beni Hammad,africanworldheritagesites.org,Algeria
Al Qal'a of Beni Hammad,whc.unesco.org,City of Galle
Al Qal'a of Beni Hammad,www.gounesco.com,Algeria
Al Qal'a of Beni Hammad,www.flickr.com,Algeria
Al Qal'a of Beni Hammad,www.facebook.com,Algeria
Al Qal'a of Beni Hammad,www.wikidata.org,Algeria
Al Qal'a of Beni Hammad,www.wikiomni.com,Algeria
M'Zab Valley,www.algeria.com,Algeria
M'Zab Valley,www.asatours.com.au,Melbourne
M'Zab Valley,www.pinterest.com,Algeria
M'Zab Valley,en.wikipedia.org,Algeria
M'Zab Valley,www.researchgate.net,Algeria
M'Zab Valley,forum.postcrossing.com,Algeria
M'Zab Valley,www.slideshare.net,Algeria
Djémila,www.worldatlas.com,Algeria
Djémila,en.wikipedia.org,Algeria
Djémila,www.youtube.com,Algeria
Djémila,www.expedia.com,Algeria
Djémila,www.romancescam.com,Nigeria
Djémila,www.nejm.org,England
Timgad,www.youtube.com,Algeria
Timgad,www.worldatlas.com,Tunisia
Timgad,en.wikipedia.org,Algeria
Timgad,pt.scribd.com,Algeria
Timgad,www.yelp.com,Ireland
Timgad,www.algeria.com,Algeria
Timgad,www.bizdb.co.uk,London
Antigua Naval Dockyard and Related Archaeological Sites,whc.unesco.org,Georgia
Antigua Naval Dockyard and Related Archaeological Sites,www.worldheritagesite.org,Antigua and Barbuda
Antigua Naval Dockyard and Related Archaeological Sites,www.lonelyplanet.com,Uzbekistan
Antigua Naval Dockyard and Related Archaeological Sites,www.icomos.ch,Antigua and Barbuda
Antigua Naval Dockyard and Related Archaeological Sites,www.visitantiguabarbuda.com,Antigua and Barbuda
Antigua Naval Dockyard and Related Archaeological Sites,unescopostcardsblog.wordpress.com,South central part of the island
Antigua Naval Dockyard and Related Archaeological Sites,www.cnn.com,Switzerland
Antigua Naval Dockyard and Related Archaeological Sites,repeatingislands.com,Antigua and Barbuda
Los Glaciares National Park,www.losglaciares.com,Argentina
Los Glaciares National Park,en.wikipedia.org,Argentina
Los Glaciares National Park,www.tripadvisor.com,Argentina
Los Glaciares National Park,www.quasarex.com,Patagonia Region
Los Glaciares National Park,www.mapsofworld.com,Argentina
Los Glaciares National Park,www.gettyimages.com,Santa Cruz Province
Los Glaciares National Park,www.wildlifeworldwide.com,Argentina
Los Glaciares National Park,whc.unesco.org,Argentina
Iguazu National Park,www.mapsofworld.com,Argentina
Iguazu National Park,en.wikipedia.org,Brazil
Iguazu National Park,www.touropia.com,Argentina
Iguazu National Park,andreudozphotography.wordpress.com,Argentina
Iguazu National Park,www.booking.com,Argentina
"Cueva de las Manos, Río Pinturas",en.wikipedia.org,Santa Cruz Province
"Cueva de las Manos, Río Pinturas",www.youtube.com,Santa Cruz Province
"Cueva de las Manos, Río Pinturas",www.roughguides.com,Cordillera Region
"Cueva de las Manos, Río Pinturas",vimeo.com,Santa Cruz Province
"Cueva de las Manos, Río Pinturas",link.springer.com,Santa Cruz Province
"Cueva de las Manos, Río Pinturas",www.argentina.travel,Argentina
Península Valdés,en.wikipedia.org,Argentina
Península Valdés,issuu.com,Argentina
Península Valdés,www.travel-with-pen-and-palate-argentina.com,Argentina
Península Valdés,puertopiramides.gov.ar,Argentina
Península Valdés,www.ecotours.com,Argentina
Península Valdés,www.mapsofworld.com,Argentina
Península Valdés,www.tripmasters.com,Latin America and the Caribbean
Jesuit Block and Estancias of Córdoba,whc.unesco.org,City of Galle
Jesuit Block and Estancias of Córdoba,www.argentina.travel,San Juan
Jesuit Block and Estancias of Córdoba,www.manresa-sj.org,Argentina
Jesuit Block and Estancias of Córdoba,nty2010.wordpress.com,Paraguay
Jesuit Block and Estancias of Córdoba,www.youtube.com,Paraguay
Jesuit Block and Estancias of Córdoba,sites.google.com,Province of Cordoba
Jesuit Block and Estancias of Córdoba,www.gounesco.com,Paraguay
Quebrada de Humahuaca,www.goparoo.com,Argentina
Quebrada de Humahuaca,www.tripadvisor.ca,Argentina
Quebrada de Humahuaca,wikivisually.com,Argentina
Quebrada de Humahuaca,www.researchgate.net,Argentina
Quebrada de Humahuaca,www.tripadvisor.com,Argentina
Monastery of Geghard and the Upper Azat Valley,www.blackseatourism.org,Armenia
Monastery of Geghard and the Upper Azat Valley,www.worldheritagesite.org,Armenia
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,en.wikipedia.org,Western Region
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,www.worldheritagesite.org,Armenia
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,www.penang-traveltips.com,Armenia
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,heindorffhus.motivsamler.dk,Armenia
Great Barrier Reef,cairnsdiveadventures.com.au,State of Queensland
Great Barrier Reef,www.livescience.com,Australia
Great Barrier Reef,www.padi.com,State of Queensland
Great Barrier Reef,www.mapsofworld.com,Australia
Great Barrier Reef,www.barrierreef.org,Coast Province
Lord Howe Island Group,en.wikipedia.org,South central part of the island
Lord Howe Island Group,www.lordhoweislandgroup.com,Australia
Lord Howe Island Group,www.wow.com,Australia
Lord Howe Island Group,www.environment.nsw.gov.au,Asia and the Pacific
Lord Howe Island Group,acountryamonth.com,South central part of the island
Uluru-Kata Tjuta National Park,whc.unesco.org,City of Galle
Uluru-Kata Tjuta National Park,parksaustralia.gov.au,Australia
Uluru-Kata Tjuta National Park,www.ulurunationalpark.org,Australia
Uluru-Kata Tjuta National Park,www.ozoutback.com.au,Australia
Uluru-Kata Tjuta National Park,www.australia.com,Australia
Uluru-Kata Tjuta National Park,ozoutback.com.au,Australia
Wet Tropics of Queensland,en.wikipedia.org,State of Queensland
Wet Tropics of Queensland,www.queensland.com,State of Queensland
Wet Tropics of Queensland,whc.unesco.org,State of Queensland
Wet Tropics of Queensland,simple.wikipedia.org,State of Queensland
Wet Tropics of Queensland,rainforest-australia.com,State of Queensland
Wet Tropics of Queensland,sites.google.com,Australia
"Shark Bay, Western Australia",en.wikipedia.org,Australia
"Shark Bay, Western Australia",www.sharkbay.org.au,State of Western Australia
"Shark Bay, Western Australia",auspost.com.au,State of Western Australia
"Shark Bay, Western Australia",www.australiascoralcoast.com,State of Western Australia
"Shark Bay, Western Australia",www.fish.wa.gov.au,State of Western Australia
"Shark Bay, Western Australia",sharkbayprawns.com,State of Western Australia
"Shark Bay, Western Australia",www.about-australia.com,State of Western Australia
"Shark Bay, Western Australia",www.sharkbaywesternaustralia.com,Australia
"Shark Bay, Western Australia",sharksmart.com.au,State of Western Australia
"Shark Bay, Western Australia",goaustralia.about.com,State of Western Australia
Macquarie Island,en.wikipedia.org,New Zealand
Macquarie Island,www.antarctica.gov.au,Australia
Macquarie Island,e4ac.edu.au,South central part of the island
Macquarie Island,www.abc.net.au,Australia
Macquarie Island,auspost.com.au,Australia
Macquarie Island,airsar.jpl.nasa.gov,South central part of the island
Macquarie Island,msfenato.weebly.com,New South Wales
Fraser Island,www.australia.com,Australia
Fraser Island,www.tourfraserisland.com.au,State of Queensland
Fraser Island,www.tripmasters.com,Asia and the Pacific
Fraser Island,www.mapsofworld.com,Australia
Fraser Island,mypolice.qld.gov.au,South central part of the island
Fraser Island,www.frasercoastchronicle.com.au,Coast Province
Fraser Island,www.agoda.com,Australia
Greater Blue Mountains Area,en.wikipedia.org,New South Wales
Greater Blue Mountains Area,www.bluemts.com.au,Australia
Greater Blue Mountains Area,www.greaterbluemountainsarea.com,Australia
Greater Blue Mountains Area,simple.wikipedia.org,New South Wales
Purnululu National Park,www.nntt.gov.au,Western Australia
Purnululu National Park,www.agoda.com,Australia
Purnululu National Park,www.yellowpages.com.au,Australia
Purnululu National Park,en.wikipedia.org,Australia
Sydney Opera House,www.tripadvisor.com.au,Australia
Sydney Opera House,www.answers.com,New South Wales
Sydney Opera House,www.sydney-australia.biz,Australia
Sydney Opera House,www.sydneyflightsaccommodation.com.au,Australia
Sydney Opera House,www.megaessays.com,Australia
Australian Convict Sites,en.wikipedia.org,State of Queensland
Australian Convict Sites,www.asha.org.au,Western Australia
Australian Convict Sites,www.slq.qld.gov.au,Australia
Australian Convict Sites,www.australia.gov.au,New South Wales
Australian Convict Sites,www.pinterest.com,Australia
Australian Convict Sites,ramint.gov.au,Australia
Australian Convict Sites,nla.gov.au,State of Queensland
Australian Convict Sites,aph.org.au,Australia
Royal Exhibition Building and Carlton Gardens,museumvictoria.com.au,Victoria
Royal Exhibition Building and Carlton Gardens,www.tripadvisor.com,Australia
Royal Exhibition Building and Carlton Gardens,en.wikipedia.org,Australia
Royal Exhibition Building and Carlton Gardens,www.royalexhibitionbuildingandcarltongardens.com,Australia
Royal Exhibition Building and Carlton Gardens,museumspaces.com.au,Australia
Royal Exhibition Building and Carlton Gardens,www.thatsmelbourne.com.au,Melbourne
Royal Exhibition Building and Carlton Gardens,www.facebook.com,Melbourne
Ningaloo Coast,thewest.com.au,Australia
Ningaloo Coast,www.dpaw.wa.gov.au,Western Australia
